gene,dataset,compartment,mean_AD,mean_control,log2fc,pval,padj,direction,n_cells,n_cells_AD,n_cells_HC,pb_log2fc,pb_pval,pb_padj,sc_wilcox_pval,sc_wilcox_padj
ARL1,GSE189188,CD4_T,0.2358156,0.2541214,-0.10785865,0.24583067,0.4370323022206624,ns,15446,6450,8996,-0.12236369,0.24583067,0.4370323022206624,2.8044205e-08,3.2050520206082315e-08
ARNT,GSE189188,CD4_T,0.17011592,0.14959681,0.18543866,0.8109114,0.9679670333862305,ns,15446,6450,8996,-0.04186815,0.8109114,0.9679670333862305,1.8968729e-17,3.793745758082989e-17
BRPF1,GSE189188,CD4_T,0.1356126,0.10493922,0.36993727,0.84697115,0.9679670333862305,ns,15446,6450,8996,-0.058912262,0.84697115,0.9679670333862305,8.1834315e-17,1.454832261755394e-16
CBX5,GSE189188,CD4_T,0.32115582,0.3141804,0.03168017,0.9882656,0.9882655739784241,ns,15446,6450,8996,0.002770215,0.9882656,0.9882655739784241,1.5610043e-16,2.497606876294945e-16
DOHH,GSE189188,CD4_T,0.10635382,0.08671473,0.29452288,0.97314924,0.9882655739784241,ns,15446,6450,8996,0.011691859,0.97314924,0.9882655739784241,6.3503403e-15,9.23685856041837e-15
GATA3,GSE189188,CD4_T,1.0112165,0.64540917,0.647806,0.00061931566,0.0049545252695679665,up,15446,6450,8996,0.6278755,0.00061931566,0.0049545252695679665,0.0,0.0
GPATCH8,GSE189188,CD4_T,0.4490539,0.41823134,0.10258752,0.6848475,0.9679670333862305,ns,15446,6450,8996,0.048693568,0.6848475,0.9679670333862305,4.1041056e-30,1.0944281477266805e-29
MPG,GSE189188,CD4_T,0.58280563,0.45566615,0.35503757,0.051135536,0.136361430088679,ns,15446,6450,8996,0.26373884,0.051135536,0.136361430088679,0.0,0.0
NDFIP2,GSE189188,CD4_T,0.08853688,0.06956161,0.34798732,0.5591887,0.8947019577026367,ns,15446,6450,8996,0.23087741,0.5591887,0.8947019577026367,1.4596192e-10,1.9461589747156913e-10
P4HB,GSE189188,CD4_T,1.2091575,0.90644246,0.41571483,0.003845217,0.015674017369747162,up,15446,6450,8996,0.32493493,0.003845217,0.015674017369747162,0.0,0.0
RAB21,GSE189188,CD4_T,0.11493785,0.14196327,-0.3046638,0.01762201,0.0563904345035553,ns,15446,6450,8996,-0.39219043,0.01762201,0.0563904345035553,0.00021593165,0.0002159316500183195
RBCK1,GSE189188,CD4_T,0.9382083,0.6475176,0.53498876,1.00965035e-05,0.00016154405602719635,up,15446,6450,8996,0.5232687,1.00965035e-05,0.00016154405602719635,0.0,0.0
SLC33A1,GSE189188,CD4_T,0.119033895,0.13350803,-0.16555403,0.06970321,0.15932161467415945,ns,15446,6450,8996,-0.4433334,0.06970321,0.15932161467415945,8.37745e-10,1.0310707501468221e-09
SRD5A3,GSE189188,CD4_T,0.053919263,0.060195956,-0.15886576,0.734958,0.9679670333862305,ns,15446,6450,8996,-0.1546498,0.734958,0.9679670333862305,8.160258e-05,8.704275048027436e-05
STAT6,GSE189188,CD4_T,0.63644415,0.44780168,0.507174,0.0039185043,0.015674017369747162,up,15446,6450,8996,0.35897186,0.0039185043,0.015674017369747162,0.0,0.0
TFAP4,GSE189188,CD4_T,0.27099866,0.26070377,0.055874202,0.118213795,0.23642759025096893,ns,15446,6450,8996,0.10254347,0.118213795,0.23642759025096893,6.2053596e-18,1.4183679198336566e-17
ARL1,GSE189188,all_T,0.24403363,0.2586168,-0.083736,0.054550957,0.14546921849250793,ns,21905,9365,12540,-0.16682461,0.054550957,0.14546921849250793,4.0295545e-13,4.959451652771699e-13
ARNT,GSE189188,all_T,0.17675039,0.15021814,0.23465432,0.30579564,0.5436366928948296,ns,21905,9365,12540,0.14430645,0.30579564,0.5436366928948296,9.499651e-28,1.899930275323997e-27
BRPF1,GSE189188,all_T,0.16263746,0.11422673,0.5097593,0.4502388,0.6796137002798227,ns,21905,9365,12540,0.21064384,0.4502388,0.6796137002798227,1.1243625e-36,2.569971467183039e-36
CBX5,GSE189188,all_T,0.3087273,0.3042478,0.021086212,0.510985,0.6796137002798227,ns,21905,9365,12540,0.105625935,0.510985,0.6796137002798227,1.2507319e-21,2.0011710756444037e-21
DOHH,GSE189188,all_T,0.116985634,0.09545301,0.29346883,0.8194949,0.9276733994483948,ns,21905,9365,12540,-0.06658299,0.8194949,0.9276733994483948,1.0673351e-22,1.8974846500467035e-22
GATA3,GSE189188,all_T,0.93612146,0.6155514,0.60481644,0.0015466405,0.008248749499519667,up,21905,9365,12540,0.5767974,0.0015466405,0.008248749499519667,0.0,0.0
GPATCH8,GSE189188,all_T,0.45815787,0.42588514,0.1053804,0.8841397,0.9276733994483948,ns,21905,9365,12540,0.018612968,0.8841397,0.9276733994483948,1.19419e-40,3.1844974701269578e-40
MPG,GSE189188,all_T,0.6596235,0.46399647,0.507529,0.04709023,0.14546921849250793,ns,21905,9365,12540,0.3887955,0.04709023,0.14546921849250793,0.0,0.0
NDFIP2,GSE189188,all_T,0.078471296,0.065460384,0.2615429,0.55218613,0.6796137002798227,ns,21905,9365,12540,0.25339884,0.55218613,0.6796137002798227,3.2960146e-10,3.515748877210475e-10
P4HB,GSE189188,all_T,1.4463285,0.9760628,0.56734943,0.036915597,0.14546921849250793,ns,21905,9365,12540,0.3673177,0.036915597,0.14546921849250793,0.0,0.0
RAB21,GSE189188,all_T,0.12194823,0.14872946,-0.28642166,0.06866957,0.15695902279445104,ns,21905,9365,12540,-0.45414656,0.06866957,0.15695902279445104,5.003612e-06,5.003611931897467e-06
RBCK1,GSE189188,all_T,1.0124867,0.6776398,0.5793125,0.00058044045,0.007437875494360924,up,21905,9365,12540,0.45584518,0.00058044045,0.007437875494360924,0.0,0.0
SLC33A1,GSE189188,all_T,0.1324761,0.13556796,-0.033284128,0.2955338,0.5436366928948296,ns,21905,9365,12540,-0.20070691,0.2955338,0.5436366928948296,6.8894034e-16,9.185871142647914e-16
SRD5A3,GSE189188,all_T,0.07020335,0.06714089,0.064348064,0.9276734,0.9276733994483948,ns,21905,9365,12540,-0.04528832,0.9276734,0.9276733994483948,2.7322396e-12,3.12255950263296e-12
STAT6,GSE189188,all_T,0.63537234,0.45118207,0.49389258,0.00092973444,0.007437875494360924,up,21905,9365,12540,0.4060299,0.00092973444,0.007437875494360924,0.0,0.0
TFAP4,GSE189188,all_T,0.25336787,0.24932349,0.023214756,0.47216505,0.6796137002798227,ns,21905,9365,12540,0.09615391,0.47216505,0.6796137002798227,3.445842e-20,5.012133605686623e-20
